127.0.0.1 - - [07/Dec/2020:11:53:40 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:41 -0500] "GET /AppWebSeguridad/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:42 -0500] "GET /AppWebSeguridad/faces/login.xhtml HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/css/login_base.css;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/css/font_ico.css;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 18880
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/css/bootstrap.min.css;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 100069
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/primefaces.css;jsessionid=E303327400A03DDEE62CD497BF59A8FA?ln=primefaces&v=5.3 HTTP/1.1" 200 70886
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/jquery/jquery.js;jsessionid=E303327400A03DDEE62CD497BF59A8FA?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=E303327400A03DDEE62CD497BF59A8FA?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/primefaces.js;jsessionid=E303327400A03DDEE62CD497BF59A8FA?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/RES_NOT_FOUND HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:43 -0500] "GET /AppWebSeguridad/faces/resources/img/galaxy-training-logo.png HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/resources/fonts/icomoon.ttf?rdbf5p HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/login.xhtml HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/login.xhtml HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/login.xhtml HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/resources/fonts/icomoon.woff?rdbf5p HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /AppWebSeguridad/faces/login.xhtml HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:53:44 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:01 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:01 -0500] "GET /AppWebSeguridad/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=5.3 HTTP/1.1" 304 -
